City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
Kysyl-Syr,RU,63.8986,122.7617,-11.09,95,74,4.36,1616546509
Kamaishi,JP,39.2667,141.8833,44.6,61,40,5.75,1616546509
Saskylakh,RU,71.9167,114.0833,-27.65,97,88,5.97,1616546280
Cape Town,ZA,-33.9258,18.4232,72.0,68,0,8.05,1616546226
Barrow,US,71.2906,-156.7887,-7.6,71,1,11.5,1616546395
Río Gallegos,AR,-51.6226,-69.2181,48.2,57,40,23.02,1616546510
Rikitea,PF,-23.1203,-134.9692,79.86,74,14,11.07,1616546229
Vila Franca do Campo,PT,37.7167,-25.4333,55.4,76,20,16.11,1616546510
Cidreira,BR,-30.1811,-50.2056,71.8,91,100,8.93,1616546511
Mogadishu,SO,2.0371,45.3438,78.58,77,44,12.88,1616546511
Albany,US,42.6001,-73.9662,59.0,26,75,5.75,1616546222
Yulara,AU,-25.2406,130.9889,75.2,69,0,6.91,1616546511
Tessalit,ML,20.1986,1.0114,68.9,10,14,8.77,1616546512
Yellowknife,CA,62.456,-114.3525,1.99,60,75,11.5,1616546265
Lavrentiya,RU,65.5833,-171.0,15.06,94,100,12.64,1616546512
Ponta do Sol,PT,32.6667,-17.1,55.99,59,40,3.0,1616546513
Hithadhoo,MV,-0.6,73.0833,82.89,72,69,8.88,1616546513
Vaini,TO,-21.2,-175.2,80.6,78,75,16.11,1616546513
Bawku,GH,11.0616,-0.2417,87.35,40,3,5.55,1616546513
Boguchany,RU,58.3814,97.4531,18.03,93,96,2.04,1616546514
Yeppoon,AU,-23.1333,150.7333,84.2,79,90,12.66,1616546514
Bilibino,RU,68.0546,166.4372,7.48,86,100,3.74,1616546514
City of San Pedro,PH,14.35,121.0167,82.4,65,75,4.61,1616546515
Severo-Kuril'sk,RU,50.6789,156.125,34.03,84,89,13.89,1616546515
Bredasdorp,ZA,-34.5322,20.0403,64.4,88,39,9.22,1616546225
Dunedin,NZ,-45.8742,170.5036,55.0,83,100,4.0,1616546274
Ponta Delgada,PT,37.7333,-25.6667,55.4,76,20,16.11,1616546515
Punta Arenas,CL,-53.15,-70.9167,44.6,76,40,29.93,1616546516
Avarua,CK,-21.2078,-159.775,86.0,79,20,10.36,1616546516
Busselton,AU,-33.65,115.3333,55.99,86,59,1.01,1616546516
Albox,ES,37.3886,-2.1495,55.0,48,5,5.99,1616546517
Atuona,PF,-9.8,-139.0333,80.67,72,100,18.57,1616546517
Champerico,GT,14.3,-91.9167,84.2,70,75,4.61,1616546517
Sinnamary,GF,5.3833,-52.95,76.78,88,91,11.56,1616546518
Krasne,UA,49.9145,24.6134,24.8,93,0,4.47,1616546518
Hobyo,SO,5.3505,48.5268,77.14,62,5,11.14,1616546518
New Norfolk,AU,-42.7826,147.0587,62.01,83,100,6.35,1616546519
Thompson,CA,55.7435,-97.8558,10.4,44,20,5.75,1616546519
Faanui,PF,-16.4833,-151.75,83.8,73,22,19.64,1616546223
Qaanaaq,GL,77.484,-69.3632,-21.62,61,94,4.88,1616546520
Sobolevo,RU,54.4299,31.8996,13.46,94,15,4.68,1616546520
Kumul,CN,42.8,93.45,47.44,29,100,2.91,1616546520
Kapaa,US,22.0752,-159.319,80.01,53,20,16.11,1616546520
Plettenberg Bay,ZA,-34.0527,23.3716,64.35,88,100,6.62,1616546521
Weatherford,US,32.7593,-97.7972,73.4,30,1,3.44,1616546521
Mahonda,TZ,-6.45,39.4667,82.85,71,13,3.98,1616546521
La Rioja,ES,42.25,-2.5,44.01,81,0,1.14,1616546522
Ushuaia,AR,-54.8,-68.3,44.6,76,90,21.85,1616546522
Nikolskoye,RU,59.7035,30.7861,35.6,75,0,6.71,1616546522
Jamestown,US,42.097,-79.2353,57.2,41,1,13.13,1616546424
Cockburn Town,TC,21.4612,-71.1419,77.77,77,0,13.91,1616546523
Laguna,US,38.421,-121.4238,68.0,15,1,20.71,1616546523
San Cristobal,VE,7.7669,-72.225,80.6,74,40,2.3,1616546324
Las Palmas,ES,28.4204,-14.0131,66.2,59,0,9.22,1616546524
Lukovetskiy,RU,64.2956,41.9211,33.8,80,40,8.95,1616546524
Mataura,NZ,-46.1927,168.8643,62.01,74,100,1.7,1616546524
Pochutla,MX,15.7432,-96.4661,84.2,54,1,11.5,1616546525
East London,ZA,-33.0153,27.9116,66.43,76,25,10.71,1616546525
Pisco,PE,-13.7,-76.2167,71.6,78,0,16.11,1616546343
Mokrous,RU,51.2333,47.5167,31.73,98,100,10.0,1616546525
Smithers,CA,54.7804,-127.1743,44.6,57,90,2.3,1616546526
Kaeo,NZ,-35.1,173.7833,71.76,53,39,7.27,1616546526
Altamont,US,42.2068,-121.7372,51.8,17,1,14.97,1616546526
Florø,NO,61.5996,5.0328,42.8,81,90,35.68,1616546527
Hilo,US,19.7297,-155.09,77.0,69,75,13.8,1616546505
Gaoua,BF,10.2992,-3.2508,82.15,59,93,5.7,1616546527
Road Town,VG,18.4167,-64.6167,78.01,78,20,3.44,1616546527
Arrifes,PT,37.7667,-25.7,55.4,82,20,13.8,1616546528
Charters Towers,AU,-20.1,146.2667,87.73,52,85,3.0,1616546528
Portland,US,45.5234,-122.6762,57.2,41,20,4.61,1616545911
Okha,RU,53.5739,142.9478,10.42,67,15,23.82,1616546528
Bela,IN,25.9333,81.9833,73.45,34,99,6.55,1616546529
Hobart,AU,-42.8794,147.3294,62.01,94,75,10.36,1616546529
Denpasar,ID,-8.65,115.2167,80.6,89,40,1.14,1616546529
Arraial do Cabo,BR,-22.9661,-42.0278,77.0,88,20,1.21,1616546530
Dikson,RU,73.5069,80.5464,-7.71,91,100,4.38,1616546530
Kostanay,KZ,53.1667,63.5833,19.4,86,0,11.18,1616546530
Nanortalik,GL,60.1432,-45.2371,22.87,69,49,9.01,1616546531
Aripuanã,BR,-9.1667,-60.6333,70.48,98,78,0.18,1616546531
Margate,GB,51.3813,1.3862,42.01,83,15,1.01,1616546531
Khatanga,RU,71.9667,102.5,-6.36,95,100,4.0,1616546532
Ribeira Grande,PT,38.5167,-28.7,55.89,56,60,10.2,1616546253
Laas,IT,46.6166,10.7002,37.99,74,0,6.91,1616546420
Bilgrām,IN,27.1833,80.0333,75.0,32,26,5.79,1616546532
Jiangyou,CN,31.7667,104.7167,54.57,68,19,2.98,1616546532
Kaitangata,NZ,-46.2817,169.8464,59.0,73,96,4.0,1616546533
